#Version:1.1
#PluginType:CMMT-ST
#PluginVer.:2.9.2.0
#SeparatorSign:；
#SystemDecimalSeparator:,
#Role:30
Address；Type；Value；BindableValueText
P0.1.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisLevel；4096；DIAGNOSIS_LEVEL_STOP_CATEGORY_0
P0.2.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisOptions；1；OPTION_SAVE_TO_LOG
P0.70.0.0；System.UInt32；0x007C926A；8163946
P0.71.0.0；System.String；CMMT-ST-C8-1C-MP-S0；CMMT-ST-C8-1C-MP-S0
P0.72.0.0；System.String；Rev03；Rev03
P0.73.0.0；System.String；B；B
P0.79.0.0；System.String；；
P0.141.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisOptions；1；OPTION_SAVE_TO_LOG
P0.144.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisLevel；16；DIAGNOSIS_LEVEL_WARNING
P0.164.0.0；System.UInt16；0xFFFF；65535
P0.165.0.0；System.UInt16；0xFFFF；65535
P0.166.0.0；System.UInt16；0xFFFF；65535
P0.167.0.0；System.UInt16；0xFFFF；65535
P0.179.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisOptions；1；OPTION_SAVE_TO_LOG
P0.181.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisLevel；256；DIAGNOSIS_LEVEL_STOP_CATEGORY_1
P0.185.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisOptions；1；OPTION_SAVE_TO_LOG
P0.187.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisLevel；4096；DIAGNOSIS_LEVEL_STOP_CATEGORY_0
P0.190.0.0；System.Single；0x00000000；0,00
P0.191.0.0；System.Single；0x00000000；0,00
P0.192.0.0；System.Single；0x00000000；0,00
P0.193.0.0；System.Single；0x00000000；0,00
P0.194.0.0；System.Single；0x00000000；0,00
P0.195.0.0；System.Single；0x00000000；0,00
P0.196.0.0；System.Single；0x00000000；0,00
P0.197.0.0；System.Single；0x00000000；0,00
P0.198.0.0；System.Single；0x00000000；0,00
P0.199.0.0；System.Single；0x00000000；0,00
P0.201.0.0；System.Single；0x3F800000；1,00
P0.202.0.0；System.Single；0x00000000；0,00
P0.203.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisOptions；1；OPTION_SAVE_TO_LOG
P0.205.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisLevel；4；DIAGNOSIS_LEVEL_INFO
P0.209.0.0；System.UInt32；0x00000000；0
P0.209.0.1；System.UInt32；0x00000000；0
P0.209.0.2；System.UInt32；0x00000000；0
P0.209.0.3；System.UInt32；0x00000000；0
P0.209.1.0；System.UInt32；0x00000000；0
P0.209.1.1；System.UInt32；0x00000000；0
P0.209.1.2；System.UInt32；0x00000000；0
P0.209.1.3；System.UInt32；0x00000000；0
P0.245.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:ComProtocolType；0；cptNone
P0.246.0.0；System.UInt32；0xF0A4877C；4037314428
P0.247.0.0；System.Byte；0x00；0
P0.247.0.1；System.Byte；0x0E；14
P0.247.0.2；System.Byte；0xF0；240
P0.247.0.3；System.Byte；0xA4；164
P0.247.0.4；System.Byte；0x87；135
P0.247.0.5；System.Byte；0x7C；124
P0.248.0.0；System.Byte；0x00；0
P0.248.0.1；System.Byte；0x0E；14
P0.248.0.2；System.Byte；0xF0；240
P0.248.0.3；System.Byte；0xA4；164
P0.248.0.4；System.Byte；0x87；135
P0.248.0.5；System.Byte；0x7D；125
P0.249.0.0；System.Byte；0x00；0
P0.249.0.1；System.Byte；0x0E；14
P0.249.0.2；System.Byte；0xF0；240
P0.249.0.3；System.Byte；0xA4；164
P0.249.0.4；System.Byte；0x87；135
P0.249.0.5；System.Byte；0x7E；126
P0.250.0.0；System.UInt32；0x007C926A；8163946
P0.251.0.0；System.String；CMMT-ST-C8-1C-MP-S0；CMMT-ST-C8-1C-MP-S0
P0.252.0.0；System.Byte；0x00；0
P0.252.0.1；System.Byte；0x00；0
P0.252.0.2；System.Byte；0x00；0
P0.252.0.3；System.Byte；0x00；0
P0.252.0.4；System.Byte；0x00；0
P0.252.0.5；System.Byte；0x00；0
P0.253.0.0；System.String；A；A
P0.254.0.0；System.UInt16；0x0001；1
P0.256.0.0；System.Single；0x409CCCCD；4,90
P0.257.0.0；System.Single；0x40B00000；5,50
P0.265.0.0；System.Byte；0x00；0
P0.265.0.1；System.Byte；0x0E；14
P0.265.0.2；System.Byte；0xF0；240
P0.265.0.3；System.Byte；0xA4；164
P0.265.0.4；System.Byte；0x87；135
P0.265.0.5；System.Byte；0x7F；127
P0.266.0.0；System.String；；
P0.268.0.0；System.String；；
P0.269.0.0；System.UInt32；0x00009C54；40020
P0.305.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisLevel；256；DIAGNOSIS_LEVEL_STOP_CATEGORY_1
P0.306.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisOptions；1；OPTION_SAVE_TO_LOG
P0.307.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisLevel；256；DIAGNOSIS_LEVEL_STOP_CATEGORY_1
P0.308.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisOptions；1；OPTION_SAVE_TO_LOG
P0.309.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisLevel；1；DIAGNOSIS_LEVEL_INTERNAL
P0.309.1.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:DiagnosisLevel；1；DIAGNOSIS_LEVEL_INTERNAL
P0.311.0.0；System.Single；0x40A80000；5,25
P0.312.0.0；System.UInt32；0x00010000；65536
P0.313.0.0；System.UInt32；0x00001000；4096
P0.320.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:Enci_EncoderTypes；0；Enci_Undefined
P0.321.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:Enci_EncoderTypes；0；Enci_Undefined
P0.323.0.0；System.Single；0x00000000；0,00
P0.324.0.0；System.Single；0x00000000；0,00
P0.329.0.0；System.UInt32；0x00000000；0
P0.340.0.0；Festo.Tool.XMLHandler.XMLInterpreterBase.Data.EnumEntry:TraceType；1；TRACE_TYPE_DATA_TRACE
